iter	Passed	Remaining
181	3013	30102
182	3029	30077
183	3044	30050
184	3066	30086
185	3084	30078
186	3109	30148
187	3130	30170
188	3146	30151
189	3159	30102
190	3173	30058
191	3188	30026
192	3205	30011
193	3222	29999
194	3248	30070
195	3263	30037
196	3278	30006
197	3293	29978
198	3311	29972
199	3329	29969
200	3345	29939
201	3360	29907
202	3375	29882
203	3400	29935
204	3413	29893
205	3433	29897
206	3451	29892
207	3472	29920
208	3495	29952
209	3510	29920
210	3530	29933
211	3546	29914
212	3562	29884
213	3577	29856
214	3592	29828
215	3607	29793
216	3623	29769
217	3645	29802
218	3662	29784
219	3678	29763
220	3694	29736
221	3709	29707
222	3731	29731
223	3749	29730
224	3765	29705
225	3781	29681
226	3796	29650
227	3811	29622
228	3827	29602
229	3844	29589
230	3862	29579
231	3879	29564
232	3894	29538
233	3910	29509
234	3926	29491
235	3945	29494
236	3965	29500
237	3982	29482
238	3997	29456
239	4012	29426
240	4031	29425
241	4047	29399
242	4060	29358
243	4075	29332
244	4091	29305
245	4111	29315
246	4127	29293
247	4142	29262
248	4156	29231
249	4172	29209
250	4188	29188
251	4203	29158
252	4222	29154
253	4239	29140
254	4254	29112
255	4269	29084
256	4284	29060
257	4304	29061
258	4323	29060
259	4338	29036
260	4356	29029
261	4377	29036
262	4392	29013
263	4408	28989
264	4430	29006
265	4445	28978
266	4461	28956
267	4478	28941
268	4494	28922
269	4513	28919
270	4529	28900
271	4547	28887
272	4562	28859
273	4580	28853
274	4595	28826
275	4611	28803
276	4627	28782
277	4639	28740
278	4658	28737
279	4683	28771
280	4698	28745
281	4714	28723
282	4731	28708
283	4745	28672
284	4760	28644
285	4775	28618
286	4790	28593
287	4805	28564
288	4821	28543
289	4836	28516
290	4850	28488
291	4867	28469
292	4884	28455
293	4900	28433
294	4920	28438
295	4938	28427
296	4954	28408
297	4970	28387
298	4987	28375
299	5003	28350
300	5018	28326
301	5034	28306
302	5047	28267
303	5061	28235
304	5076	28212
305	5091	28188
306	5107	28163
307	5123	28144
308	5139	28124
309	5154	28102
310	5170	28079
311	5185	28057
312	5200	28029
313	5219	28025
314	5239	28025
315	5254	28001
316	5270	27981
317	5285	27956
318	5300	27933
319	5322	27941
320	5340	27931
321	5356	27914
322	5372	27893
323	5387	27869
324	5402	27844
325	5417	27820
326	5437	27820
327	5452	27796
328	5467	27770
329	5482	27746
330	5503	27751
331	5518	27727
332	5534	27705
333	5549	27682
334	5565	27660
335	5581	27641
336	5602	27648
337	5620	27638
338	5640	27637
339	5666	27666
340	5681	27642
341	5700	27634
342	5716	27614
343	5735	27608
344	5751	27589
345	5770	27584
346	5787	27570
347	5804	27555
348	5819	27531
349	5834	27507
350	5850	27484
351	5868	27475
352	5889	27479
353	5906	27462
354	5922	27441
355	5937	27418
356	5952	27393
357	5973	27398
358	5989	27379
359	6005	27357
360	6025	27358
361	6040	27334
362	6057	27318
363	6073	27297
364	6090	27283
365	6105	27259
366	6121	27238
367	6137	27217
368	6153	27197
369	6177	27213
370	6192	27191
371	6207	27166
372	6223	27145
373	6238	27124
374	6253	27099
375	6270	27084
376	6289	27075
377	6304	27051
378	6319	27028
379	6334	27006
380	6350	26983
381	6364	26959
382	6380	26936
383	6395	26913
384	6410	26891
385	6430	26887
386	6444	26861
387	6460	26841
388	6478	26829
389	6495	26812
390	6510	26789
391	6533	26800
392	6550	26785
393	6569	26778
394	6584	26755
395	6604	26750
396	6626	26756
397	6649	26763
398	6665	26746
399	6679	26719
400	6695	26696
401	6710	26675
402	6722	26638
403	6737	26618
404	6753	26595
405	6767	26571
